strategy,workload,dataset_size,threads,throughput,speedup
coarse,insert,10000,1,21.38122728,1.0
coarse,insert,10000,2,5.409791719999999,0.253015958773345
coarse,insert,10000,4,6.54750213,0.3062266746551323
coarse,insert,10000,8,4.1708375,0.195070069897316
coarse,insert,10000,16,2.03165316,0.09502041830407032
coarse,insert,50000,1,3.64508533,1.0
coarse,insert,50000,2,2.36862426,0.6498131169949867
coarse,insert,50000,4,1.54400571,0.4235856146610428
coarse,insert,50000,8,0.84849884,0.2327788688557258
coarse,insert,50000,16,0.4136313,0.11347643814966603
coarse,insert,100000,1,1.30069119,1.0
coarse,insert,100000,2,0.35808565000000003,0.2753041250321685
coarse,insert,100000,4,0.32997126,0.25368916352850823
coarse,insert,100000,8,0.22599222,0.1737477902037608
coarse,insert,100000,16,0.20331927,0.15631632747508653
coarse,insert,500000,1,0.08740211,1.0
coarse,insert,500000,2,0.06076508,0.6952358472810324
coarse,insert,500000,4,0.05050771,0.5778774677178845
coarse,insert,500000,8,0.04608186,0.527239674190932
coarse,insert,500000,16,0.0350789,0.4013507225397648
coarse,lookup,10000,1,18.21493625,1.0
coarse,lookup,10000,2,8.727526619999999,0.4791412113781073
coarse,lookup,10000,4,7.58610226,0.4164770140219403
coarse,lookup,10000,8,4.858378269999999,0.2667249669896593
coarse,lookup,10000,16,2.9914146400000003,0.16422866371547143
coarse,lookup,50000,1,4.05989152,1.0
coarse,lookup,50000,2,2.231575,0.549663701359193
coarse,lookup,50000,4,1.21924158,0.3003138320306647
coarse,lookup,50000,8,0.90292475,0.22240120100548896
coarse,lookup,50000,16,0.50535116,0.12447405491267906
coarse,lookup,100000,1,1.5773617,1.0
coarse,lookup,100000,2,0.71840216,0.45544541876476397
coarse,lookup,100000,4,0.43291861,0.27445741201906954
coarse,lookup,100000,8,0.27520075,0.17446902000980496
coarse,lookup,100000,16,0.21234267,0.1346188829106222
coarse,lookup,500000,1,0.08007258,1.0
coarse,lookup,500000,2,0.046034410000000005,0.5749085392277856
coarse,lookup,500000,4,0.04039479,0.5044771880711224
coarse,lookup,500000,8,0.04571154,0.5708763224564514
coarse,lookup,500000,16,0.053278980000000004,0.6653835807463678
coarse,mixed,10000,1,22.87805994,1.0
coarse,mixed,10000,2,7.25373567,0.3170607861428656
coarse,mixed,10000,4,6.0492408200000005,0.26441231624817574
coarse,mixed,10000,8,3.61141206,0.15785482114616753
coarse,mixed,10000,16,1.8229546399999998,0.07968134731620079
coarse,mixed,50000,1,4.08316592,1.0
coarse,mixed,50000,2,2.07881192,0.5091176701435636
coarse,mixed,50000,4,1.22789181,0.300720527663495
coarse,mixed,50000,8,0.57589953,0.14104240221519093
coarse,mixed,50000,16,0.32304541,0.0791164053406872
coarse,mixed,100000,1,1.48745112,1.0
coarse,mixed,100000,2,0.69312222,0.4659798299792198
coarse,mixed,100000,4,0.35866488,0.2411271706192268
coarse,mixed,100000,8,0.22825771,0.15345560397305694
coarse,mixed,100000,16,0.20617451,0.138609267375455
coarse,mixed,500000,1,0.07095375999999999,1.0
coarse,mixed,500000,2,0.03949032,0.5565641623502406
coarse,mixed,500000,4,0.03424095,0.4825811909051755
coarse,mixed,500000,8,0.03318495,0.46769825869693166
coarse,mixed,500000,16,0.03321069,0.4680610301695077
fine,insert,10000,1,24.485798239999998,1.0
fine,insert,10000,2,24.98750625,1.0204897551259084
fine,insert,10000,4,34.188034189999996,1.3962393161498172
fine,insert,10000,8,35.26093089,1.4400564173724892
fine,insert,10000,16,37.850113549999996,1.5457986371940309
fine,insert,50000,1,3.60157893,1.0
fine,insert,50000,2,5.58453308,1.5505791178093102
fine,insert,50000,4,9.58497077,2.6613246457436377
fine,insert,50000,8,14.752744009999999,4.096187893347099
fine,insert,50000,16,17.17858861,4.769738202016858
fine,insert,100000,1,1.54715895,1.0
fine,insert,100000,2,2.10772587,1.3623201869465318
fine,insert,100000,4,3.88719364,2.5124720637139446
fine,insert,100000,8,7.01144267,4.531817929890138
fine,insert,100000,16,9.39020039,6.069318469185083
fine,insert,500000,1,0.06560042999999999,1.0
fine,insert,500000,2,0.09537637,1.453898549140608
fine,insert,500000,4,0.20030620000000002,3.0534281558825156
fine,insert,500000,8,0.40622021,6.192340659962139
fine,insert,500000,16,0.8558825600000001,13.04690472303307
fine,insert,1000000,1,0.026468290000000002,1.0
fine,insert,1000000,2,0.04156768,1.570470929553817
fine,insert,1000000,4,0.08391826,3.170520649426162
fine,insert,1000000,8,0.17414109,6.579234623770557
fine,insert,1000000,16,0.31948767,12.070582194769665
fine,lookup,10000,1,23.43017807,1.0
fine,lookup,10000,2,43.49717268,1.8564593299311616
fine,lookup,10000,4,41.476565740000005,1.7702198257343422
fine,lookup,10000,8,65.10416667,2.7786458333989095
fine,lookup,10000,16,47.82400765,2.0411286464456646
fine,lookup,50000,1,3.82350692,1.0
fine,lookup,50000,2,6.74700096,1.7646106313310923
fine,lookup,50000,4,11.88523616,3.1084646657315322
fine,lookup,50000,8,20.18978397,5.2804361002699585
fine,lookup,50000,16,27.32091143,7.145511176425437
fine,lookup,100000,1,1.61867301,1.0
fine,lookup,100000,2,2.62560225,1.6220708158962878
fine,lookup,100000,4,5.28697712,3.2662415987278375
fine,lookup,100000,8,8.38820618,5.182149901912554
fine,lookup,100000,16,10.37764241,6.411203711860248
fine,lookup,500000,1,0.06521786,1.0
fine,lookup,500000,2,0.09907104,1.5190783628901654
fine,lookup,500000,4,0.20388424,3.1262025463577
fine,lookup,500000,8,0.45835484000000004,7.028057038363418
fine,lookup,500000,16,0.81288388,12.464129917786323
fine,lookup,1000000,1,0.02838671,1.0
fine,lookup,1000000,2,0.04980502,1.7545189280476674
fine,lookup,1000000,4,0.08076763,2.845262096241516
fine,lookup,1000000,8,0.14928438,5.25895322141946
fine,lookup,1000000,16,0.26572279,9.360816734309823
fine,mixed,10000,1,20.802995629999998,1.0
fine,mixed,10000,2,33.99048266,1.6339225015738756
fine,mixed,10000,4,41.118421049999995,1.9765625000037554
fine,mixed,10000,8,37.579857200000006,1.8064637357230464
fine,mixed,10000,16,36.84598379,1.7711864409020213
fine,mixed,50000,1,3.63118754,1.0
fine,mixed,50000,2,6.26087828,1.7241957929829204
fine,mixed,50000,4,10.7538445,2.961522747459086
fine,mixed,50000,8,16.10254098,4.434510969929138
fine,mixed,50000,16,18.59496448,5.120904463116769
fine,mixed,100000,1,1.4098565900000002,1.0
fine,mixed,100000,2,2.65038974,1.8799002386476766
fine,mixed,100000,4,4.30392604,3.0527403074379356
fine,mixed,100000,8,7.46820412,5.2971374343825985
fine,mixed,100000,16,9.941148400000001,7.051177027870615
fine,mixed,500000,1,0.06497317,1.0
fine,mixed,500000,2,0.09807039999999999,1.5093984178392403
fine,mixed,500000,4,0.17331074,2.6674201058683145
fine,mixed,500000,8,0.34670486,5.336123510673714
fine,mixed,500000,16,0.51933333,7.993042820598103
fine,mixed,1000000,1,0.026218400000000003,1.0
fine,mixed,1000000,2,0.04516783,1.722753104689836
fine,mixed,1000000,4,0.08346104,3.183300277667592
fine,mixed,1000000,8,0.1303663,4.9723209654288585
fine,mixed,1000000,16,0.19399166,7.399065541756934
